english,kky,tsc,category,image,audio,submitted by
A,senabi,,determiner,,,eric
A,urapon,,determiner,,,eric
abandon,adatean,,verb,,,eric
abhor,ngulamoin,,verb,,,eric
abide,apatanu,,verb,,,eric
able,ngulaigö,,adjective,,,eric
abode,lagö,,place,,,eric
adominable,wati,,adjective,,,eric
adominable, ipidadö,,adjective,,,eric
above,gimal,,preposition,,,eric
absent,mata-launga,,adjective,,,eric
accede,kuduman,,verb,,,eric
accept,toridiz,,verb,,,eric
accompany,kalmel-uzar,,verb,,,eric
accuse,imulizilamizö,,verb,,,eric
accustom,mina-asizinga,,verb,,,eric
acknowledge,wa,,verb,,,eric
across,kakuru-pataean,,preposition,,,eric
act,nidaipa,,verb,,,eric
admit,kuduman,,verb,,,eric
advance,kulaitai,,verb,,,eric
advise,gudö-nitun,,verb,,,eric
afraid,akanö,,adjective,,,eric
after,wagel,,preposition,,,eric
after,muasin,,preposition,,,eric
afternoon,kuta,,time,,,eric
afternoon,kutapa,,time,,,eric
again,laka,,adverb,,,eric
agree,uraponia,,verb,,,eric
air,gubö,,environment,,,eric
alike,matangadagid,,adjective,,,eric
alive,igelilönga,,adjective,,,eric
all,mura,,predeterminer,,,eric
allow,getwani,,verb,,,eric
alone,kusaig,,adjective,,,eric
also,a,,adverb,,,eric
always,mata,,adverb,,,eric
always,ngaru,,adverb,,,eric
ancestor,kaied,,person,,,eric
anchor,iadi,angka,tool,,,eric
anchor,koiad,angka,tool,,,eric
ancient,kulba,,adjective,,,eric
and,a,,conjunction,,,eric
and,ia,,conjunction,,,eric
angel,angela,,person,,,eric
anger,tabukir,,person,,,eric
anger,iaragi,,emotion,,,eric
animal,urui,,animal,,,eric
ankle,dana-koko,,body part,,,eric
anklet,dunakukur,,clothing,,,eric
anoint,pinin,,verb,,,eric
another,wara,,determiner,,,eric
answer,modobia,,speech,,,eric
answer,muli,,speech,,,eric
ant,mugu,,animal,,,eric
ant,taumi,,animal,,,eric
argue,patöridizö,,verb,,,eric
arise,kadai tanuriz,,verb,,,eric
arm,getö,,body part,,,eric
arm,udu,,body part,,,eric
arm,zugu,,body part,,,eric
armlet,musur,,body part,,,eric
around,lunuranö,,body part,,,eric
arrive,mangizö,,body part,,,eric
arrow,taeak,,tool,,,eric
arrow,taiek,,tool,,,eric
arrow,terig,,tool,,,eric
arrow,kimus,,tool,,,eric
artery,kirer,,body part,,,eric
as,keda,,adverb,,,eric
ascend,walizö,,verb,,,eric
ashamed,azir,,adjective,,,eric
ashes,kunar,,environment,,,eric
ask,iapopoibi,,verb,,,eric
asleep,utui,,adjective,,,eric
assemble,garöweidamoin,,verb,,,eric
assist,ibupoidan,,verb,,,eric
astonished,lupaliz,,adjective,,,eric
at,nia,,preposition,,,eric
attack,pazilamiz,,verb,,,eric
aunt,rebata,,person,,,eric
aunt,apu,,person,,,eric
aunt,ǎma,,person,,,eric
aunt,naiubat,,person,,,eric
awake,danpaliz,,verb,,,eric
away,adapa,,adverb,,,eric
axe,aga,tamyok,tool,,,eric
axe,turik,tamyok,tool,,,eric
Babe,mabetö,,person,,,casey
Babe,kazi,,person,,,casey
back,kalö,,body part,,,casey
back,kibu,,body part,,,casey
backbone,göruridö,,body part,,,casey
bad,wati,,adjective,,,casey
bad,ipidadö,,adjective,,,casey
bag,iana,,tool,,,casey
bald,guai,,adjective,,,casey
ball,kokam,,tool,,,casey
bamboo,marapö,,environment,,,casey
banana,katamö,,environment,,,casey
banana,dauai,,environment,,,casey
band,iatial,,collective,,,casey
bark,pia,,environment,,,casey
bark,pura,,environment,,,casey
basket,iana,,tool,,,casey
basket,li,,tool,,,casey
basket,boi,,tool,,,casey
bat,sapor,,animal,,,casey
bat,sapura,,animal,,,casey
bathe,urupugan,,verb,,,casey
bay,kupadö,,place,,,casey
beach,butu,,place,,,casey
bead,kusa,,environment,,,casey
beak,gudö,,environment,,,casey
beak,piti,,environment,,,casey
bear,töridiz,,verb,,,casey
beard,iata,,body part,,,casey
beard,gudop,,body part,,,casey
beat,mataman,,verb,,,casey
beautiful,kapu,,adjective,,,casey
because,siaizi,,preposition,,,casey
because,kedazöngu,,preposition,,,casey
become,azipa,,verb,,,casey
bed,dögam,,tool,,,casey
bee,töda,,animal,,,casey
bee,ped,,animal,,,casey
bee,mosu,,animal,,,casey
beetle,idara,,animal,,,casey
before,paru,,preposition,,,casey
before,kulai,,preposition,,,casey
beg,ieudepa,,verb,,,casey
beg,amaizö,,verb,,,casey
begin,kuikaiman,,verb,,,casey
behead,kuikö-patan,,verb,,,casey
behind,kalapa,,preposition,,,casey
behold !,ngapanagi,,verb,,,casey
believe,kapuakasin,,verb,,,casey
bell,pati,,tool,,,casey
belly,maita,,body part,,,casey
below,apalö,,preposition,,,casey
belt,wakau,,clothing,,,casey
bend,balbaitilan,,verb,,,casey
berry,kusa,,environment,,,casey
best,kapuminar,,adjective,,,casey
betel,wau,,environment,,,casey
between,dadan,,preposition,,,casey
beware,iman,,verb,,,casey
beyond,adapudiz,,preposition,,,casey
bible,tusi,,tool,,,casey
big,koi,,adjective,,,casey
big,kai,,adjective,,,casey
bind,dörödimoin,,verb,,,casey
bird,urui,,animal,,,casey
birth,mainguzi,,abstract,,,casey
bit,tapi,,abstract,,,casey
bite,töidiz,,verb,,,casey
bite,taidisa,,verb,,,casey
bitter,tera,,adjective,,,casey
black,kubikubinga,,adjective,,,casey
bladder,ubalö,,body part,,,casey
blade,turik,,tool,,,casey
blame,guratöridan,,verb,,,casey
blaze,buia,,verb,,,casey
bleed,kulka,,verb,,,casey
blessed,unabo,,adjective,,,casey
blind,imaiginga,,adjective,,,casey
blood,kulka,,body part,,,casey
blossom,kukuam,,environment,,,casey
blow,puian,,verb,,,casey
blue,tanabadö,,adjective,,,casey
blue,maluda,,adjective,,,casey
blunt,dugunga,,adjective,,,casey
blush,azir,,,,,casey
boast,ngada-palepa,,,,,casey
boat,gul,,,,,casey
body,gamu,,,,,casey
bog,sai,,,,,casey
bog,pupu,,,,,casey
bone,ridö,,,,,casey
book,tusi,,,,,casey
bore,tarte-paleipa,,verb,,,casey
born,mani,,,,,casey
both,sepal,,,,,casey
bottom,apal,,,,,casey
bow,gagai,,,,,casey
bow,gagal,,,,,casey
bow,gagari,,,,,casey
bowels,görzö,,,,,casey
bowl,turkǔ,,,,,casey
bowl,terku,,,,,casey
boy,gara kazi,,,,,casey
boy,magi-tiom,,,,,casey
brain,tigi,,,,,casey
branch,tam,,,,,casey
bread,areto,,,,,casey
bread-fruit,ti,,,,,casey
break,papalamiz,,verb,,,casey
break,patidan,,verb,,,casey
breast,da,,,,,casey
breast,susu,,,,,casey
breast,dǔra,,,,,casey
breath,ngana,,,,,casey
bridegroom,mabaeg-kain-ipi-gasaman,,,,,casey
bridge,do,,,,,casey
bright,meakata,,,,,casey
bring,mani,,,,,casey
bring,ngapa,,,,,casey
bring,angan,,,,,casey
broad,atadonga,,,,,casey
brood,apukazi,,,,,casey
brother,kuitag,,,,,casey
brother,kui-kuiga,,,,,casey
brother,ngaubatö,,,,,casey
brother,to-kiǔp,,,,,casey
brother,babǔd,,,,,casey
brow,,,,,,casey
bud,,,,,,casey
build,,,,,,casey
bullroarer,,,,,,casey
calico,dumawaku,,adjective,,,eric
call,walmizin,,verb,,,eric
call,turan,,verb,,,eric
calm,mataro,,adjective,,,eric
can,ngulaig,,verb,,,eric
cannibal,mabaeg-purutan,,person,,,eric
canoe,gulö,,tool,,,eric
cape,gizu,,clothing,,,eric
cargo,gulngu-rugal,,collective,,,eric
carry,angeipa,,verb,,,eric
carry,toridiz,,verb,,,eric
cassowary,samu,,animal,,,eric
cast out,nguroweidan,,verb,,,eric
catch,gasamanö,,verb,,,eric
cave,sakai,,environment,,,eric
centre,dadalö,,geography,,,eric
centipede,saga,,animal,,,eric
chain,mapil-urukam,,tool,,,eric
chain,mitinit,,tool,,,eric
chair,niaiza,,tool,,,eric
charcoal,burker,,material,,,eric
charcoal,kubi,,material,,,eric
chase,wakaean,,verb,,,eric
cheek,dak,,body part,,,eric
cheek,bagö,,body part,,,eric
chest,bero,,body part,,,eric
chew,nadamai,,verb,,,eric
chief,kuikulnga,,person,,,eric
dagger,soki,,tool,,,eric
dagger,zorki,,tool,,,eric
dale,wakadar,,environment,,,eric
dance,kap,,verb,,,eric
dance,girar,,verb,,,eric
dance,gamudiwapa,,verb,,,eric
dark,kubilö,,adjective,,,eric
dark,inur,,adjective,,,eric
dash,taeaen,,verb,,,eric
daughter,ngawakazi,,person,,,eric
daughter,ipiegokazi,,person,,,eric
dawn,arö,,time,,,eric
dawn,moigi,,time,,,eric
day,göiga,,time,,,eric
daybreak,time,,arö,,,eric
dead,umanga,,adjective,,,eric
deaf,karengaigigö,,adjective,,,eric
death,uma,,status,,,eric
deceive,paruidizö,,verb,,,eric
deceive,ngalakipa,,verb,,,eric
ear,kursai,talinga,body part,,,eric
ear,kaura,talinga,body part,,,eric
earring,muti,,clothing,,,eric
earring,gagi,,clothing,,,eric
earth,baradar,,environment,,,eric
earth,apa,,environment,,,eric
east,waradogam,,environment,,,eric
east,palagis,,environment,,,eric
eat,purutaipa,,verb,,,eric
ebb,gato,,environment,,,eric
echo,nurö,,environment,,,eric
eclipse,wardan,,environment,,,eric
edge,dang,,environment,,,eric
edge,gizu,,environment,,,eric
egg,kakur,,food,,,eric
egret,kabai,,animal,,,eric
elbow,kudru,,body part,,,eric
elbow,kudu,,body part,,,eric
empty,zaginga,,adjective,,,eric
empty,aiginga,,adjective,,,eric
end,kutö,,common,,,eric
enemy,kubo,,person,,,eric
enemy,ridau,,person,,,eric
enter,muia-utiz,,verb,,,eric
enter,kami,,verb,,,eric
entire,mura,,adjective,,,eric
envy,imulizilamiz,,emotion,,,eric
equal,matangadagidö,,adjective,,,eric
erase,idimoin,,verb,,,eric
erect,nanitan,,adjective,,,eric
err,rimarim,,verb,,,eric
escape,adapatamöin,,verb,,,eric
escape,katpalagiz,,verb,,,eric
eternal,ngaru,,adjective,,,eric
even,matangadagido,,adjective,,,eric
evening,kutapa,,time,,,eric
evil,watipaua,,adjective,,,eric
example,minaman,,common,,,eric
exhort,dantaean,,verb,,,eric
explain,balbaigpalan,,verb,,,eric
eye,dan,ai,body part,,,eric
eye,purka,ai,body part,,,
eyeball,dun,,body part,,,eric
eyeball,purka,,body part,,,eric
eyebrow,beibǎsa,,body part,,,eric
eyelash,samudung,,body part,,,eric
eyelid,pura,,body part,,,eric
eyelid,dunasamu,,body part,,,eric
face,paru,,body part,,,eric
faint ,umuwalepa,,verb,,,eric
fall,ipiap,,verb,,,eric
fall,putizo,,verb,,,eric
false,ngölkai,,adjective,,,eric
far,koisigal,,adjective,,,eric
fast,matadobura,,adjective,,,eric
fat,buzar,,adjective,,,eric
fat,gam,,adjective,,,eric
father,tati,,person,,,eric
father,baba,,person,,,eric
fear,aka,,emotion,,,eric
feast,ta,,food,,,eric
feather,baba,,material,,,eric
feather,kaikai,,material,,,eric
feather,plis,,material,,,eric
feed,aidupoiban,,verb,,,eric
feel,karengemin,,verb,,,eric
fence,pa,,tool,,,eric
fence,ara,,tool,,,eric
game,sagulö,,activity,,,eric
garden,apö,,environment,,,eric
garden,daraba,,environment,,,eric
garment,dumawaku,,clothing,,,eric
gate,pasa,,tool,,,eric
gate,buta,,tool,,,eric
gauntlet,kadig,,tool,,,eric
generation,markuikö,,collective,,,eric
ghost,mari,,abstract,,,eric
girdle,wakau,,clothing,,,eric
girl,ipikazi,,person,,,eric
give,poibanö,,verb,,,eric
glad,ika,,emotion,,,eric
glad,igaligal,,emotion,,,eric
glance,dana-muktaean,,verb,,,eric
go,uzar,,verb,,,eric
go,ladun,,verb,,,eric
go,uteman,,verb,,,eric
god,augadö,,person,,,eric
good,kapu,,adjective,,,eric
hammerhead shark,korsi,,animal,,,eric
hand,apopauna,,body part,,,eric
hand,getö,,body part,,,eric
hang,puidan,,verb,,,eric
hang,dordimoin,,verb,,,eric
hard,ridanga,,adjective,,,eric
hasten,kikimizi,,verb,,,eric
hat,walup,,clothing,,,eric
hat,göuga,,clothing,,,eric
hatchet,turik,,tool,,,eric
hatchet,aga,,tool,,,eric
hate,tabukiri,,emotion,,,eric
hate,ngulamoin,,emotion,,,eric
have,aidai,,verb,,,eric
have,munia,,verb,,,eric
hawk,ngagalaig,,animal,,,eric
hawk,kausi,,animal,,,eric
I,ngai,,pronoun,,,eric
if,sike,,conjunction,,,eric
ignite,gamuidan,,verb,,,eric
ill,kikiri,,adjective,,,eric
image,ngadalga,,common,,,eric
image,uroi,,common,,,eric
imitate,puzida,,verb,,,eric
immediately,matadöbura,,adverb,,,eric
impossible,korawaig,,adjective,,,eric
impure,moaizinga,,adjective,,,eric
in,nu,,preposition,,,eric
incline,ioipa,,environment,,,eric
increase,sirisiri,,verb,,,eric
infant,mapeta,,person,,,eric
iniquity,ipidadö,,abstract,,,eric
iniquity,wati,,abstract,,,eric
inland,darba-nu,,environment,,,eric
inquire,iapopoibi,,verb,,,eric
insect,urui,,animal,,,eric
insect,baibuli,,animal,,,eric
inside,mui,,abstract,,,eric
inter,marama-toiaipa,,verb,,,eric
interpret,iungu-ngulaigö,,verb,,,eric
intestines,akur,,body part,,,eric
iron,turik,,material,,,eric
island,lagua,ailan,place,,,
island,lag,ailan,place,,,
it,noi,,pronoun,,,eric
itch,kurtumiz,,verb,,,eric
jaw,bagö,,body part,,,eric
join,,,verb,,,eric
joint,worǎm,,body part,,,eric
joint,woiam,,body part,,,eric
juice,sulizö,,food,,,eric
jump,katapulgipa,,verb,,,eric
just,balbaiginga,,adverb,,,eric
kangaroo,usa,,animal,,,eric
keep,angeipa,,verb,,,eric
kick,kukana,,verb,,,eric
kick,mapeipa,,verb,,,eric
kidney,pokiridö,,body part,,,eric
kill,uma-mataman,,verb,,,eric
kin,igalaig,,person,,,eric
kind,dalnga,,adjective,,,eric
kind,ngalnga,,adjective,,,eric
king,kuikulunga,,person,,,eric
kinsman,igalaig,,person,,,eric
kiss,gudo-tapaman,,verb,,,eric
knee,kolo,,body part,,,eric
knee,kulu,,body part,,,eric
kneel,kulu-idamanu,,verb,,,eric
knife,gi-turik,,tool,,,eric
knife (bamboo),upï,,tool,,,eric
know,ngulaig,,verb,,,eric
know,ngurupan,,verb,,,eric
know,kakal,,verb,,,eric
lad (young),zungri,,person,,,eric
lad (adolescent),kaukwik,,person,,,eric
lad (during initiation),karingi,,person,,,eric
lad (during initiation),kěrnge,,person,,,eric
lagoon,gawata,,environment,,,eric
lame,rapega,,adjective,,,eric
land,kawa,,environment,,,eric
land,lagö,,environment,,,eric
language,ia,,common,,,eric
large,köi,,adjective,,,eric
lash,mukuboidan,,verb,,,eric
lash,dirdimöinö,,verb,,,eric
last,wagel,,adjective,,,eric
laugh,gio,,verb,,,eric
laugh,napoidan,,verb,,,eric
law,sabi,,abstract,,,eric
lawful,matangadagidö,,adjective,,,eric
lay,kabutan,,verb,,,eric
lazy,gamakawasina,,adjective,,,eric
lea,ieutizi,,environment,,,eric
lea,turan,,environment,,,eric
mad,rimarim,,emotion,,,mohim
maid,paka,,person,,,mohim
make,aimaipa,,verb,,,mohim
make,nidiz,,verb,,,mohim
male,garakazi,,person,,,mohim
male,inile,,person,,,mohim
man,mabaeg,,person,,,mohim
mango,waiwi,,food,,,mohim
mangrove,taga,,environment,,,mohim
mangrove,kuiyur,,environment,,,mohim
mangrove,biiu,,environment,,,mohim
manner,pawa,,noun,,,mohim
many,koima,,abstract,,,mohim
many,köigorsar,,abstract,,,mohim
many,mura,,abstract,,,mohim
margun,gizu,,noun,,,mohim
mark,tonar-tidanö,,abstract,,,mohim
mark,minar,,abstract,,,mohim
marry,maipaielpan,,verb,,,mohim
